times,pois,postgre_time,hbase_time
1,10000,4753,9944
2,20000,8824,687
3,30000,13674,969
4,40000,18718,1408
5,50000,23566,1732
6,60000,27727,1917
7,70000,32618,2418
8,80000,36860,2891
9,90000,41613,3176
10,100000,43786,3441
11,110000,49782,4130
12,120000,50476,4325
13,130000,69183,4555
14,140000,123060,5539
15,150000,96476,5502
16,160000,70881,6258
17,170000,126862,6504
18,180000,110259,6849
19,190000,89751,7061
20,200000,95447,7506
21,210000,92082,59248
22,220000,102359,8406
23,230000,127375,8664
24,240000,112183,9319
25,250000,115065,9594
26,260000,123401,9878
27,270000,166397,10373
28,280000,134272,10246
29,290000,136773,11490
30,300000,134944,11743
31,310000,161649,11697
