mac,begin_time,end_time,hbase_time_consume,hbase_trace_length,postgre_time_consume,postgre_trace_length
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,350,0,42,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,5,0,2,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,4,0,0,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,5,0,1,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,4,0,1,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,4,0,1,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,3,0,1,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,0,0,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,0,0,0
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,5,5,3,5
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,4,5,2,5
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,5,1,5
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,4,5,2,5
ACF7F348B123,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,3,5,1,5
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,3,0,0,0
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,0,0,0
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,3,0,1,0
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,3,3,2,3
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,5,35,6,33
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,5,60,7,64
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,4,60,5,64
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,4,60,6,64
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,4,60,4,64
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,5,62,4,60
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,4,71,4,69
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,4,71,3,69
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,5,71,3,69
C86F1D788244,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,4,71,3,69
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,3,0,1,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,0,1,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,3,0,1,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,4,0,0,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,4,0,1,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,3,0,1,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,3,0,1,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,0,1,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,0,0,0
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,2,1,2
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,3,2,0,2
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,2,1,2
207D74003C28,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,2,0,2
